"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","1,780.00","1,780.00","1,764.50","1,775.75","1,770.70","1,772.45","1,772.85","1,781.45","1,068.35","9,33,372","1,65,47,27,924.70","71,159"
"23-Aug-2024","EQ","1,753.75","1,781.45","1,751.90","1,750.65","1,775.00","1,775.75","1,766.10","1,781.45","1,068.35","35,15,492","6,20,87,04,018.25","98,314"
"22-Aug-2024","EQ","1,769.50","1,769.50","1,748.40","1,764.65","1,753.00","1,750.65","1,755.63","1,771.95","1,068.35","13,69,554","2,40,44,28,089.85","89,865"
"21-Aug-2024","EQ","1,770.00","1,771.95","1,757.30","1,766.35","1,764.00","1,764.65","1,764.22","1,771.95","1,068.35","11,84,193","2,08,91,72,374.30","65,307"
"20-Aug-2024","EQ","1,751.80","1,770.80","1,745.15","1,747.80","1,764.05","1,766.35","1,759.96","1,770.80","1,068.35","17,66,597","3,10,91,33,744.30","90,223"
"19-Aug-2024","EQ","1,752.85","1,752.85","1,740.65","1,742.75","1,745.00","1,747.80","1,746.51","1,758.00","1,068.35","13,63,446","2,38,12,78,384.95","60,625"
"16-Aug-2024","EQ","1,749.60","1,751.15","1,728.65","1,741.65","1,742.00","1,742.75","1,737.72","1,758.00","1,068.35","21,80,718","3,78,94,77,118.75","1,60,306"
"14-Aug-2024","EQ","1,747.50","1,753.00","1,732.60","1,740.10","1,740.80","1,741.65","1,741.60","1,758.00","1,068.35","22,07,250","3,84,41,52,008.85","95,089"
"13-Aug-2024","EQ","1,740.00","1,751.85","1,725.60","1,733.85","1,738.00","1,740.10","1,741.73","1,758.00","1,068.35","20,76,963","3,61,75,11,597.75","1,13,509"
"12-Aug-2024","EQ","1,735.00","1,748.50","1,730.05","1,735.30","1,733.80","1,733.85","1,738.56","1,758.00","1,068.35","15,26,788","2,65,44,16,880.15","56,134"
"09-Aug-2024","EQ","1,749.80","1,749.80","1,730.05","1,737.05","1,735.25","1,735.30","1,737.77","1,758.00","1,068.35","7,51,683","1,30,62,51,800.15","70,513"
"08-Aug-2024","EQ","1,735.00","1,748.65","1,728.35","1,734.45","1,732.60","1,737.05","1,738.98","1,758.00","1,068.35","24,80,113","4,31,28,61,224.05","1,18,685"
"07-Aug-2024","EQ","1,720.00","1,736.85","1,709.40","1,707.55","1,732.50","1,734.45","1,730.96","1,758.00","1,068.35","19,22,313","3,32,74,50,519.75","1,21,844"
"06-Aug-2024","EQ","1,725.00","1,734.00","1,703.95","1,720.35","1,708.00","1,707.55","1,718.33","1,758.00","1,068.35","17,10,278","2,93,88,25,579.85","1,08,661"
"05-Aug-2024","EQ","1,725.00","1,758.00","1,715.00","1,731.65","1,718.05","1,720.35","1,737.68","1,758.00","1,068.35","51,65,558","8,97,61,09,902.35","1,95,151"
"02-Aug-2024","EQ","1,700.00","1,741.80","1,683.85","1,715.20","1,729.00","1,731.65","1,721.95","1,746.45","1,068.35","29,92,406","5,15,27,77,624.00","1,40,796"
"01-Aug-2024","EQ","1,725.50","1,746.45","1,681.30","1,719.35","1,714.00","1,715.20","1,717.43","1,746.45","1,068.35","52,58,291","9,03,07,69,809.65","1,98,851"
"31-Jul-2024","EQ","1,702.10","1,730.95","1,695.20","1,701.60","1,717.50","1,719.35","1,717.61","1,730.95","1,068.35","15,94,881","2,73,93,82,593.95","86,664"
"30-Jul-2024","EQ","1,716.10","1,725.45","1,697.00","1,723.25","1,698.00","1,701.60","1,709.65","1,728.75","1,068.35","15,25,840","2,60,86,47,114.50","89,407"
"29-Jul-2024","EQ","1,715.25","1,728.75","1,692.75","1,714.25","1,721.00","1,723.25","1,709.51","1,728.75","1,068.35","31,87,339","5,44,88,00,434.25","94,587"
