"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","7,000.00","7,097.95","6,907.90","6,948.75","6,930.00","6,925.60","7,000.85","7,097.95","1,945.00","7,54,901","5,28,49,44,935.90","63,218"
"23-Aug-2024","EQ","7,020.00","7,030.00","6,911.75","6,989.80","6,950.00","6,948.75","6,976.33","7,030.00","1,945.00","6,25,160","4,36,13,24,641.40","74,306"
"22-Aug-2024","EQ","6,825.00","7,010.05","6,790.00","6,783.20","6,995.10","6,989.80","6,929.25","7,010.05","1,945.00","7,71,279","5,34,43,86,687.00","71,848"
"21-Aug-2024","BL","6,790.00","6,790.00","6,790.00","5,220.00","6,790.00","6,790.00","6,790.00","6,790.00","5,220.00","2,46,100","1,67,10,19,000.00","1"
"21-Aug-2024","EQ","6,800.00","6,825.00","6,740.00","6,793.90","6,783.00","6,783.20","6,776.49","6,825.00","1,945.00","6,51,691","4,41,61,80,634.50","45,512"
"20-Aug-2024","EQ","6,710.00","6,819.70","6,605.05","6,689.90","6,795.00","6,793.90","6,709.43","6,819.70","1,945.00","11,43,592","7,67,28,54,804.25","75,897"
"19-Aug-2024","EQ","6,575.00","6,750.00","6,522.30","6,502.40","6,675.00","6,689.90","6,675.03","6,750.00","1,945.00","18,27,850","12,20,09,62,581.30","88,476"
"16-Aug-2024","EQ","6,440.00","6,548.00","6,440.00","6,438.35","6,525.00","6,502.40","6,489.90","6,548.00","1,860.15","11,53,478","7,48,59,61,484.45","57,666"
"14-Aug-2024","EQ","6,400.00","6,452.00","6,291.10","6,381.70","6,423.35","6,438.35","6,404.70","6,452.00","1,860.15","8,85,572","5,67,18,20,478.60","75,633"
"13-Aug-2024","EQ","6,375.00","6,443.00","6,330.00","6,382.35","6,385.00","6,381.70","6,381.84","6,443.00","1,860.15","6,51,594","4,15,83,68,385.70","73,894"
"12-Aug-2024","EQ","6,302.95","6,434.00","6,277.00","6,275.35","6,375.00","6,382.35","6,365.24","6,434.00","1,860.15","18,89,796","12,02,89,96,755.40","1,38,735"
"09-Aug-2024","EQ","5,738.85","6,373.85","5,626.60","5,644.10","6,320.25","6,275.35","6,138.34","6,373.85","1,674.40","68,77,196","42,21,45,97,044.45","3,52,671"
"08-Aug-2024","EQ","5,515.00","5,727.40","5,490.00","5,472.45","5,644.00","5,644.10","5,643.33","5,919.30","1,674.40","11,83,241","6,67,74,20,378.45","99,946"
"07-Aug-2024","BL","5,220.00","5,220.00","5,220.00","1,419.05","5,220.00","5,220.00","5,220.00","5,220.00","5,220.00","24,500","12,78,90,000.00","1"
"07-Aug-2024","EQ","5,289.00","5,499.80","5,274.60","5,220.70","5,484.50","5,472.45","5,403.99","5,919.30","1,674.40","7,17,292","3,87,62,38,768.45","80,505"
"06-Aug-2024","EQ","5,355.10","5,467.70","5,194.55","5,346.90","5,210.00","5,220.70","5,361.32","5,919.30","1,674.40","6,42,644","3,44,54,21,513.50","67,296"
"05-Aug-2024","EQ","5,360.00","5,424.35","5,226.05","5,538.25","5,355.00","5,346.90","5,321.24","5,919.30","1,674.40","10,74,769","5,71,90,99,421.20","1,02,826"
"02-Aug-2024","EQ","5,725.00","5,805.85","5,524.00","5,770.80","5,540.00","5,538.25","5,646.09","5,919.30","1,670.40","5,60,989","3,16,73,94,961.05","70,550"
"01-Aug-2024","EQ","5,894.00","5,894.00","5,722.95","5,839.00","5,772.30","5,770.80","5,775.19","5,919.30","1,670.40","7,67,562","4,43,28,16,988.50","81,099"
"31-Jul-2024","EQ","5,625.05","5,919.30","5,625.05","5,620.50","5,849.00","5,839.00","5,813.85","5,919.30","1,670.40","16,71,711","9,71,90,76,111.00","1,50,489"
"30-Jul-2024","EQ","5,550.00","5,660.00","5,520.00","5,517.40","5,625.00","5,620.50","5,614.59","5,754.95","1,670.40","7,89,712","4,43,39,10,741.40","1,02,747"
"29-Jul-2024","EQ","5,414.95","5,549.95","5,365.00","5,393.35","5,502.15","5,517.40","5,469.23","5,754.95","1,670.40","5,33,654","2,91,86,75,276.05","75,943"
